developer_id,username,repository_id,repository_name,total_commits,total_lines_added,total_lines_removed,total_lines_changed,total_files_changed,total_pull_requests,total_issues,total_reviews
7569,anandology,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
140076,rmehta,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
818803,tundebabzy,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
973676,mohsinalimat,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
1237191,joebordes,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
4945122,fproldan,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
7240992,fderyckel,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
9079960,ankush,13,lms,0,0.0,0.0,0.0,0.0,0,1,0
9355208,netchampfaris,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
10119037,akhilnarang,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
10162465,Bowrna,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
19825455,nikkothari22,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
23044675,ahmadRagheb,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
25369014,nextchamp-saqib,13,lms,0,0.0,0.0,0.0,0.0,1,1,0
26602940,0xflotus,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
28699486,frappe-pr-bot,13,lms,4,860760.0,788400.0,1649160.0,4320.0,40,27,0
28840468,niraj2477,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
29685411,ph4ni,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
29856401,dj12djdjs,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
31363128,pateljannat,13,lms,177,846551700.0,794960460.0,1641512160.0,9857880.0,137,90,18
33246109,kennethsequeira,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
34810212,NagariaHussain,13,lms,5,1120.0,1120.0,2240.0,420.0,5,14,0
37351104,MuhammadKazimSadiq,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
38468163,khalby786,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
44836240,frappe-bot,13,lms,3,3.0,3.0,6.0,3.0,0,0,0
52111700,rtdany10,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
58388135,FahidLatheef,13,lms,0,0.0,0.0,0.0,0.0,4,2,2
58888890,yarin-zhang,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
61804369,arunmathaisk,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
67804911,iamejaaz,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
74776193,KerollesFathy,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
82870227,NihalRoshanCK,13,lms,0,0.0,0.0,0.0,0.0,1,1,0
84438948,harshpwctech,13,lms,0,0.0,0.0,0.0,0.0,2,4,1
88147785,IslemMedjahdi,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
110611575,tahirAnvil,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
112155959,saadindictrans,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
115159164,sonali8848,13,lms,0,0.0,0.0,0.0,0.0,0,0,0
